Date/Time,Media Description,Media Link
"You uploaded a profile photo on March 28, 2024 at 6:39 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5603AQG3NEerhgux7Q/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1711651186202?e=2147483647&v=beta&t=Jy-gTqpeqVnY2e8eaPud0uA3yoV745_RdPajAhhMO9I
"You uploaded a profile photo on March 28, 2024 at 6:39 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5604AQH1_b_9Gucssw/profile-originalphoto-shrink_900_1200/profile-originalphoto-shrink_900_1200/0/1711651185625?e=1747267200&v=beta&t=bJARI63JJ7NG1C7Cm6RklIh14i-pTgTIRs_17ZEP_JM
"You uploaded a photo on November 23, 2023 at 2:54 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQFUl-wBLAUnUw/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1700708072514?e=2147483647&v=beta&t=VaQ4u2QDu1cOhE2C8UXyCsgsjzoSzUEOPJyn5F95oVY
"You uploaded a feed photo on April 21, 2023 at 11:04 PM (GMT)","I want to express my gratitude for the opportunity to participate in the Portfolio 6k Challenge Week and to have had the guidance of Professor Leonardo Karpinski in creating Power BI dashboards.

It was an intense and challenging week, but with the help of Professor Leonardo, I was able to improve my data visualization skills and learn new techniques for creating more effective and impactful dashboards.

I thank the entire Portifolio 6k team for their commitment and support throughout the week. It was an enriching experience that will certainly help in my professional development.

Once again, thank you Professor Leonardo and Portifolio 6k team!

#powerbi #dataviz ",https://media.licdn.com/dms/image/v2/D5622AQEI94bpKLqedw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1682118294436?e=2147483647&v=beta&t=MvFlWAOJbPnUL9S52QwDrzCTmLP2yjSWDlPpRGyKMy8
"You uploaded a profile background photo on May 5, 2022 at 3:12 PM (GMT)", -,https://media.licdn.com/dms/image/v2/C4E16AQFw47gGF67KKg/profile-displaybackgroundimage-shrink_200_800/profile-displaybackgroundimage-shrink_200_800/0/1651763548635?e=2147483647&v=beta&t=xLfgT0xZPA5M42ObQjqb7_O-FeWdpwjyH7c2DLi7uHQ
"You uploaded a profile background photo on May 5, 2022 at 3:12 PM (GMT)", -,https://media.licdn.com/dms/image/v2/C4E04AQF9oviMHG89nQ/profile-originalbackgroundimage-shrink_396_1584/profile-originalbackgroundimage-shrink_396_1584/0/1651763548616?e=1747267200&v=beta&t=eh-s-mYOe6J77k6cjb8YgjTKcDf-rQ7raXMI-TOBWmo
